episode,reward
1,-24949.64015623927
2,-23654.240156024694
3,-24367.21015614271
4,-21585.60015568137
5,-24778.830156207085
6,-24246.400156110525
7,-24919.46015623212
8,-24467.48015615344
9,-21154.43015563488
10,-23503.970156013966
11,-23925.32015606761
12,-24939.64015623927
13,-24768.830156207085
14,-24115.77015608549
15,-23412.710155963898
16,-24919.46015623212
17,-23101.45015591383
18,-24698.380156189203
19,-22529.74015584588
20,-24467.48015615344
21,-24899.370156228542
22,-24326.850156128407
23,-24788.830156207085
24,-24296.670156121254
25,-24798.92015621066
26,-24698.47015619278
27,-24145.949999839067
28,-22127.58015576005
29,-21966.050155699253
30,-24919.46015623212
31,-24949.64015623927
32,-21425.780155688524
33,-24648.47015619278
34,-24949.64015623927
35,-23654.060156017542
36,-24959.730156242847
37,-24216.580156117678
38,-24919.46015623212
39,-24517.75015616417
40,-24497.75015616417
41,-24869.19015622139
42,-24436.940156131983
43,-24949.64015623927
44,-24859.280156224966
45,-24939.64015623927
46,-24768.74015620351
47,-21626.86015573144
48,-24708.650156199932
49,-24768.74015620351
50,-24879.280156224966
51,-24598.020156174898
52,-24778.830156207085
53,-24678.47015619278
54,-24507.570156157017
55,-22137.490155756474
56,-24357.120156139135
57,-24005.77015608549
58,-24698.380156189203
59,-24829.010156214237
60,-24025.59015607834
61,-24949.64015623927
62,-24808.830156207085
63,-24839.19015622139
64,-24437.21015614271
65,-24678.380156189203
66,-22830.190155863762
67,-24859.19015622139
68,-24919.46015623212
69,-24798.92015621066
70,-24025.230156064034
71,-24608.110156178474
72,-24718.47015619278
73,-24688.290156185627
74,-24678.380156189203
75,-24658.110156178474
76,-24799.100156217813
77,-24577.930156171322
78,-24668.290156185627
79,-24919.550156235695
80,-24778.74015620351
81,-24879.280156224966
82,-24628.110156178474
83,-24036.31015610695
84,-24899.370156228542
85,-24708.650156199932
86,-24768.830156207085
87,-24678.20015618205
88,-24738.650156199932
89,-24798.830156207085
90,-24959.730156242847
91,-24819.010156214237
92,-24949.64015623927
93,-24949.64015623927
94,-24447.570156157017
95,-24106.220156103373
96,-24949.64015623927
97,-24839.100156217813
98,-23764.150156021118
99,-24839.010156214237
100,-24758.650156199932
101,-24788.830156207085
102,-24879.280156224966
103,-24789.010156214237
104,-22630.280155867338
105,-24427.120156139135
106,-24819.19015622139
107,-24447.840156167746
108,-24798.830156207085
109,-24919.46015623212
110,-24718.47015619278
111,-24728.650156199932
112,-24839.19015622139
113,-24859.100156217813
114,-24658.47015619278
115,-24949.64015623927
116,-24778.830156207085
117,-24085.680156081915
118,-24869.19015622139
119,-24879.280156224966
120,-24899.46015623212
121,-24919.46015623212
122,-24818.92015621066
123,-24919.46015623212
124,-23383.700156003237
125,-24326.76015612483
126,-24839.010156214237
127,-24557.929999917746
128,-24468.110156178474
129,-24899.370156228542
130,-24829.010156214237
131,-24788.830156207085
132,-24919.46015623212
133,-24959.730156242847
134,-24407.21015614271
135,-24768.74015620351
136,-24638.020156174898
137,-24126.400156110525
138,-24949.64015623927
139,-23313.789999753237
140,-24839.010156214237
141,-24859.19015622139
142,-24417.21015614271
143,-24919.46015623212
144,-24738.74015620351
145,-24879.280156224966
146,-24879.280156224966
147,-24045.500156074762
148,-24869.19015622139
149,-24919.46015623212
150,-24588.20015618205
151,-23503.16015598178
152,-24758.650156199932
153,-24949.64015623927
154,-24919.46015623212
155,-24889.280156224966
156,-24276.580156117678
157,-24658.290156185627
158,-24156.130156099796
159,-24949.64015623927
160,-24748.650156199932
161,-24899.370156228542
162,-24929.550156235695
163,-24879.280156224966
164,-24497.930156171322
165,-24919.46015623212
166,-24839.100156217813
167,-23854.690156042576
168,-24899.46015623212
169,-24186.04015609622
170,-24708.47015619278
171,-23884.87015604973
172,-24839.100156217813
173,-24939.64015623927
174,-24407.21015614271
175,-24899.370156228542
176,-24919.46015623212
177,-24919.550156235695
178,-24949.64015623927
179,-24899.370156228542
180,-24899.370156228542
181,-24748.650156199932
182,-24527.75015616417
183,-24818.92015621066
184,-23724.510156035423
185,-24607.930156171322
186,-24658.20015618205
187,-24919.46015623212
188,-24869.19015622139
189,-24919.46015623212
190,-24829.010156214237
191,-24718.47015619278
192,-24789.010156214237
193,-24959.730156242847
194,-24869.19015622139
195,-24949.64015623927
196,-23704.240156024694
197,-24949.64015623927
198,-24949.64015623927
199,-24276.580156117678
200,-24949.64015623927
201,-24829.010156214237
202,-24196.400156110525
203,-24829.010156214237
204,-24879.280156224966
205,-24949.64015623927
206,-23653.88015601039
207,-24768.74015620351
208,-24899.370156228542
209,-24889.280156224966
210,-24658.20015618205
211,-24547.930156171322
212,-24688.47015619278
213,-24869.280156224966
214,-24919.46015623212
215,-21746.14015570283
216,-24457.300156146288
217,-23573.16015598178
218,-24959.730156242847
219,-24518.110156178474
220,-24808.92015621066
221,-24648.290156185627
222,-24899.370156228542
223,-24829.010156214237
224,-24949.64015623927
225,-24949.64015623927
226,-24879.280156224966
227,-23925.140156060457
228,-24176.670156121254
229,-24839.010156214237
230,-24949.64015623927
231,-24919.46015623212
232,-24728.560156196356
233,-24286.580156117678
234,-24889.280156224966
235,-24889.280156224966
236,-24538.020156174898
237,-24226.4901561141
238,-24949.64015623927
239,-24096.220156103373
240,-24899.370156228542
241,-24347.120156139135
242,-24708.380156189203
243,-24608.020156174898
244,-24949.64015623927
245,-24959.730156242847
246,-24859.19015622139
247,-24959.730156242847
248,-24919.46015623212
249,-24768.830156207085
250,-24819.010156214237
251,-24537.930156171322
252,-24889.280156224966
253,-24788.830156207085
254,-24718.560156196356
255,-24869.19015622139
256,-24738.47015619278
257,-24919.46015623212
258,-24879.280156224966
259,-24949.64015623927
260,-24005.500156074762
261,-24949.64015623927
262,-24949.64015623927
263,-24467.570156157017
264,-24949.64015623927
265,-24929.550156235695
266,-24919.46015623212
267,-23885.05015605688
268,-24819.010156214237
269,-24889.280156224966
270,-24839.010156214237
271,-24949.64015623927
272,-23915.59015607834
273,-24879.280156224966
274,-24959.730156242847
275,-24919.46015623212
276,-24949.64015623927
277,-24949.64015623927
278,-24859.19015622139
279,-24628.020156174898
280,-24567.840156167746
281,-24919.46015623212
282,-24819.100156217813
283,-24869.19015622139
284,-24949.64015623927
285,-24587.75015616417
286,-24839.100156217813
287,-24919.46015623212
288,-24959.730156242847
289,-24879.280156224966
290,-24899.370156228542
291,-24899.370156228542
292,-24839.100156217813
293,-24879.280156224966
294,-24547.570156157017
295,-24919.46015623212
296,-24015.680156081915
297,-24889.280156224966
298,-22390.73015588522
299,-24849.100156217813
300,-24567.930156171322
301,-24919.46015623212
302,-24939.64015623927
303,-24949.64015623927
304,-24919.46015623212
305,-24899.370156228542
306,-24949.64015623927
307,-24527.840156167746
308,-24919.46015623212
309,-23804.690156042576
310,-24597.840156167746
311,-24949.64015623927
312,-24879.280156224966
313,-24537.660156160593
314,-24959.730156242847
315,-24899.370156228542
316,-24959.730156242847
317,-24899.370156228542
318,-24427.300156146288
319,-24949.64015623927
320,-24879.280156224966
321,-24507.660156160593
322,-24949.64015623927
323,-24869.19015622139
324,-24949.64015623927
325,-24919.46015623212
326,-23404.420156031847
327,-24738.47015619278
328,-24708.290156185627
329,-24738.650156199932
330,-24949.64015623927
331,-24889.370156228542
332,-24919.46015623212
333,-24086.130156099796
334,-24919.46015623212
335,-24186.580156117678
336,-24839.100156217813
337,-24899.370156228542
338,-24949.64015623927
339,-24919.46015623212
340,-24869.19015622139
341,-24818.92015621066
342,-24788.74015620351
343,-23454.780156046152
344,-24949.64015623927
345,-24859.100156217813
346,-24236.850156128407
347,-24949.64015623927
348,-24889.280156224966
349,-24949.64015623927
350,-24829.19015622139
351,-24618.020156174898
352,-24889.280156224966
353,-24949.64015623927
354,-24808.92015621066
355,-24668.290156185627
356,-24959.730156242847
357,-24949.64015623927
358,-24949.64015623927
359,-24949.64015623927
360,-24949.64015623927
361,-24166.84999987483
362,-24919.46015623212
363,-23805.140156060457
364,-24919.46015623212
365,-24839.100156217813
366,-24628.47015619278
367,-22822.260155946016
368,-24949.64015623927
369,-24949.64015623927
370,-24297.03015613556
371,-24116.130156099796
372,-24949.64015623927
373,-24638.47015619278
374,-24919.46015623212
375,-24949.64015623927
376,-24919.46015623212
377,-24869.19015622139
378,-24889.280156224966
379,-24919.46015623212
380,-24557.930156171322
381,-24818.92015621066
382,-24899.370156228542
383,-24949.64015623927
384,-24949.64015623927
385,-24949.64015623927
386,-24808.830156207085
387,-24919.46015623212
388,-24879.280156224966
389,-23132.980155974627
390,-24949.64015623927
391,-24949.64015623927
392,-24949.64015623927
393,-24919.46015623212
394,-24808.830156207085
395,-24668.110156178474
396,-24919.46015623212
397,-24607.840156167746
398,-24196.580156117678
399,-24919.46015623212
400,-24959.730156242847
401,-24949.64015623927
402,-24949.64015623927
403,-24949.64015623927
404,-23232.89015597105
405,-24949.64015623927
406,-24899.370156228542
407,-24497.660156160593
408,-24407.03015613556
409,-24959.730156242847
410,-24949.64015623927
411,-24839.010156214237
412,-24919.46015623212
413,-24788.74015620351
414,-24879.280156224966
415,-24869.19015622139
416,-24738.47015619278
417,-24186.130156099796
418,-24859.19015622139
419,-24919.46015623212
420,-24949.64015623927
421,-24959.730156242847
422,-24869.19015622139
423,-21675.60015568137
424,-24879.280156224966
425,-23412.89015597105
426,-24798.830156207085
427,-24919.46015623212
428,-24899.370156228542
429,-24899.370156228542
430,-24819.010156214237
431,-24909.46015623212
432,-24647.930156171322
